Investor Name,Type,Website,Stage,Sectors,Profile Link
"Individual Buyer in Bengaluru, India",Company,,,:,https://www.smergers.com/investor/regional-sales-head-retail-company-individual-buyer-in-bangalore-looking-to-buyout-businesses-upto-inr-20-crore/unt7/
"Individual Buyer in Mumbai, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-partner-professional-services-individual-buyer-in-mumbai-looking-to-buyout-businesses-upto-inr-24-crore/ou7f/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Individual Buyer in Hyderabad, India",Investor,,,and 170+ Countries,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Corporate Acquirer in Hyderabad, India",company,,,.,https://www.smergers.com/investor/executive-director-ceo-it-corporate-acquirer-in-hyderabad-looking-to-buyout-businesses-upto-inr-10-crore/7nrd/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/senior-director-technology-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-2-crore/t0yt/
"Corporate Acquirer in Nairobi, Kenya",company,,,:,https://www.smergers.com/investor/managing-director-electrical-engineering-corporate-acquirer-in-nairobi-looking-to-buyout-businesses-upto-kes-500-million/5xlj/
Individual Buyer in India,Individual Buyer,,,:,https://www.smergers.com/investor/business-associate-it-service-individual-buyer-in-india-looking-to-buyout-technology-and-it-service-businesses-upto-inr-15-crore/7ydr/
"Corporate Acquirer in Mumbai, India",company,,,:,https://www.smergers.com/investor/management-electrical-and-iot-corporate-acquirer-in-mumbai-looking-to-buyout-businesses-upto-inr-50-crore/8lhj/
"Individual Buyer in Chennai, India",Individual Buyer,,,:,https://www.smergers.com/investor/sr-vice-president-engineering-solutions-partner-consulting-individual-buyer-in-chennai-looking-to-buyout-commercial-real-estate-and-fast-food-restaurants-upto-gbp-200-thousand/yyy3/
"Individual Buyer in Ahmedabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-director-package-manufacturing-individual-buyer-in-ahmedabad-looking-to-buyout-businesses-upto-inr-70-crore/yof3/
"Corporate Acquirer in Pune, India",company,,,:,https://www.smergers.com/investor/director-engineering-goods-corporate-acquirer-in-pune-looking-to-buyout-industrial-and-food-processing-businesses-upto-inr-10-crore/f80z/
"Individual Buyer in Dubai, UAE",Individual Buyer,,,:,https://www.smergers.com/investor/management-healthcare-individual-buyer-in-dubai-looking-to-buyout-healthcare-and-technology-businesses-upto-aed-40-million/7ozy/
"Individual Buyer in Coimbatore, India",Individual Buyer,,,:,https://www.smergers.com/investor/ceo-it-services-individual-buyer-in-coimbatore-looking-to-buyout-technology-and-it-service-businesses-upto-inr-10-crore/hjh8n/
"Corporate Acquirer in Dubai, UAE",company,,,:,https://www.smergers.com/investor/cfo-education-corporate-acquirer-in-dubai-looking-to-buyout-internet-and-education-businesses-upto-inr-5-crore/ljd6x/
"Individual Buyer in Bengaluru, India",Company,,,:,https://www.smergers.com/investor/regional-sales-head-retail-company-individual-buyer-in-bangalore-looking-to-buyout-businesses-upto-inr-20-crore/unt7/
"Individual Buyer in Mumbai, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-partner-professional-services-individual-buyer-in-mumbai-looking-to-buyout-businesses-upto-inr-24-crore/ou7f/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Individual Buyer in Hyderabad, India",Investor,,,and 170+ Countries,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Corporate Acquirer in Hyderabad, India",company,,,.,https://www.smergers.com/investor/executive-director-ceo-it-corporate-acquirer-in-hyderabad-looking-to-buyout-businesses-upto-inr-10-crore/7nrd/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/senior-director-technology-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-2-crore/t0yt/
"Corporate Acquirer in Nairobi, Kenya",company,,,:,https://www.smergers.com/investor/managing-director-electrical-engineering-corporate-acquirer-in-nairobi-looking-to-buyout-businesses-upto-kes-500-million/5xlj/
Individual Buyer in India,Individual Buyer,,,:,https://www.smergers.com/investor/business-associate-it-service-individual-buyer-in-india-looking-to-buyout-technology-and-it-service-businesses-upto-inr-15-crore/7ydr/
"Corporate Acquirer in Mumbai, India",company,,,:,https://www.smergers.com/investor/management-electrical-and-iot-corporate-acquirer-in-mumbai-looking-to-buyout-businesses-upto-inr-50-crore/8lhj/
"Individual Buyer in Chennai, India",Individual Buyer,,,:,https://www.smergers.com/investor/sr-vice-president-engineering-solutions-partner-consulting-individual-buyer-in-chennai-looking-to-buyout-commercial-real-estate-and-fast-food-restaurants-upto-gbp-200-thousand/yyy3/
"Individual Buyer in Ahmedabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-director-package-manufacturing-individual-buyer-in-ahmedabad-looking-to-buyout-businesses-upto-inr-70-crore/yof3/
"Individual Buyer in Dubai, UAE",Individual Buyer,,,:,https://www.smergers.com/investor/managing-director-real-estate-individual-buyer-in-dubai-looking-to-buyout-businesses-upto-inr-50-lakh/9jd6f/
"Corporate Acquirer in Niagara Falls, Canada",investor,,,:,https://www.smergers.com/investor/director-marketing-consultancy-corporate-acquirer-in-niagara-falls-looking-to-buyout-food-beverage-businesses-and-guest-houses-upto-cad-800-thousand/z7tzo/
"Corporate Acquirer in Noida, India",,,,:,https://www.smergers.com/investor/director-renewable-energy-corporate-acquirer-in-noida-looking-to-buyout-businesses-upto-inr-30-crore/6tj9r/
"Corporate Acquirer in Pune, India",company,,,:,https://www.smergers.com/investor/director-engineering-goods-corporate-acquirer-in-pune-looking-to-buyout-industrial-and-food-processing-businesses-upto-inr-10-crore/f80z/
"Individual Buyer in Bengaluru, India",Company,,,:,https://www.smergers.com/investor/regional-sales-head-retail-company-individual-buyer-in-bangalore-looking-to-buyout-businesses-upto-inr-20-crore/unt7/
"Individual Buyer in Mumbai, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-partner-professional-services-individual-buyer-in-mumbai-looking-to-buyout-businesses-upto-inr-24-crore/ou7f/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Individual Buyer in Hyderabad, India",Investor,,,and 170+ Countries,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Corporate Acquirer in Hyderabad, India",company,,,.,https://www.smergers.com/investor/executive-director-ceo-it-corporate-acquirer-in-hyderabad-looking-to-buyout-businesses-upto-inr-10-crore/7nrd/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/senior-director-technology-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-2-crore/t0yt/
"Corporate Acquirer in Nairobi, Kenya",company,,,:,https://www.smergers.com/investor/managing-director-electrical-engineering-corporate-acquirer-in-nairobi-looking-to-buyout-businesses-upto-kes-500-million/5xlj/
Individual Buyer in India,Individual Buyer,,,:,https://www.smergers.com/investor/business-associate-it-service-individual-buyer-in-india-looking-to-buyout-technology-and-it-service-businesses-upto-inr-15-crore/7ydr/
"Corporate Acquirer in Mumbai, India",company,,,:,https://www.smergers.com/investor/management-electrical-and-iot-corporate-acquirer-in-mumbai-looking-to-buyout-businesses-upto-inr-50-crore/8lhj/
"Individual Buyer in Chennai, India",Individual Buyer,,,:,https://www.smergers.com/investor/sr-vice-president-engineering-solutions-partner-consulting-individual-buyer-in-chennai-looking-to-buyout-commercial-real-estate-and-fast-food-restaurants-upto-gbp-200-thousand/yyy3/
"Individual Buyer in Ahmedabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-director-package-manufacturing-individual-buyer-in-ahmedabad-looking-to-buyout-businesses-upto-inr-70-crore/yof3/
"Corporate Acquirer in Pune, India",company,,,:,https://www.smergers.com/investor/director-engineering-goods-corporate-acquirer-in-pune-looking-to-buyout-industrial-and-food-processing-businesses-upto-inr-10-crore/f80z/
"Individual Buyer in Dubai, UAE",Individual Buyer,,,:,https://www.smergers.com/investor/management-healthcare-individual-buyer-in-dubai-looking-to-buyout-healthcare-and-technology-businesses-upto-aed-40-million/7ozy/
"Individual Buyer in Coimbatore, India",Individual Buyer,,,:,https://www.smergers.com/investor/ceo-it-services-individual-buyer-in-coimbatore-looking-to-buyout-technology-and-it-service-businesses-upto-inr-10-crore/hjh8n/
"Corporate Acquirer in Dubai, UAE",company,,,:,https://www.smergers.com/investor/cfo-education-corporate-acquirer-in-dubai-looking-to-buyout-internet-and-education-businesses-upto-inr-5-crore/ljd6x/
"Individual Buyer in Bengaluru, India",Company,,,:,https://www.smergers.com/investor/regional-sales-head-retail-company-individual-buyer-in-bangalore-looking-to-buyout-businesses-upto-inr-20-crore/unt7/
"Individual Buyer in Mumbai, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-partner-professional-services-individual-buyer-in-mumbai-looking-to-buyout-businesses-upto-inr-24-crore/ou7f/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Individual Buyer in Hyderabad, India",Investor,,,and 170+ Countries,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Corporate Acquirer in Hyderabad, India",company,,,.,https://www.smergers.com/investor/executive-director-ceo-it-corporate-acquirer-in-hyderabad-looking-to-buyout-businesses-upto-inr-10-crore/7nrd/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/senior-director-technology-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-2-crore/t0yt/
"Corporate Acquirer in Nairobi, Kenya",company,,,:,https://www.smergers.com/investor/managing-director-electrical-engineering-corporate-acquirer-in-nairobi-looking-to-buyout-businesses-upto-kes-500-million/5xlj/
Individual Buyer in India,Individual Buyer,,,:,https://www.smergers.com/investor/business-associate-it-service-individual-buyer-in-india-looking-to-buyout-technology-and-it-service-businesses-upto-inr-15-crore/7ydr/
"Corporate Acquirer in Mumbai, India",company,,,:,https://www.smergers.com/investor/management-electrical-and-iot-corporate-acquirer-in-mumbai-looking-to-buyout-businesses-upto-inr-50-crore/8lhj/
"Individual Buyer in Chennai, India",Individual Buyer,,,:,https://www.smergers.com/investor/sr-vice-president-engineering-solutions-partner-consulting-individual-buyer-in-chennai-looking-to-buyout-commercial-real-estate-and-fast-food-restaurants-upto-gbp-200-thousand/yyy3/
"Individual Buyer in Ahmedabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-director-package-manufacturing-individual-buyer-in-ahmedabad-looking-to-buyout-businesses-upto-inr-70-crore/yof3/
"Corporate Acquirer in Pune, India",company,,,:,https://www.smergers.com/investor/director-engineering-goods-corporate-acquirer-in-pune-looking-to-buyout-industrial-and-food-processing-businesses-upto-inr-10-crore/f80z/
"Individual Buyer in Dubai, UAE",Individual Buyer,,,:,https://www.smergers.com/investor/management-healthcare-individual-buyer-in-dubai-looking-to-buyout-healthcare-and-technology-businesses-upto-aed-40-million/7ozy/
"Individual Buyer in Coimbatore, India",Individual Buyer,,,:,https://www.smergers.com/investor/ceo-it-services-individual-buyer-in-coimbatore-looking-to-buyout-technology-and-it-service-businesses-upto-inr-10-crore/hjh8n/
"Corporate Acquirer in Dubai, UAE",company,,,:,https://www.smergers.com/investor/cfo-education-corporate-acquirer-in-dubai-looking-to-buyout-internet-and-education-businesses-upto-inr-5-crore/ljd6x/
"Individual Buyer in Bengaluru, India",Company,,,:,https://www.smergers.com/investor/regional-sales-head-retail-company-individual-buyer-in-bangalore-looking-to-buyout-businesses-upto-inr-20-crore/unt7/
"Individual Buyer in Mumbai, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-partner-professional-services-individual-buyer-in-mumbai-looking-to-buyout-businesses-upto-inr-24-crore/ou7f/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Individual Buyer in Hyderabad, India",Investor,,,and 170+ Countries,https://www.smergers.com/investor/interior-designer-interior-design-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-5-crore/6pua/
"Corporate Acquirer in Hyderabad, India",company,,,.,https://www.smergers.com/investor/executive-director-ceo-it-corporate-acquirer-in-hyderabad-looking-to-buyout-businesses-upto-inr-10-crore/7nrd/
"Individual Buyer in Hyderabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/senior-director-technology-individual-buyer-in-hyderabad-looking-to-buyout-businesses-upto-inr-2-crore/t0yt/
"Corporate Acquirer in Nairobi, Kenya",company,,,:,https://www.smergers.com/investor/managing-director-electrical-engineering-corporate-acquirer-in-nairobi-looking-to-buyout-businesses-upto-kes-500-million/5xlj/
Individual Buyer in India,Individual Buyer,,,:,https://www.smergers.com/investor/business-associate-it-service-individual-buyer-in-india-looking-to-buyout-technology-and-it-service-businesses-upto-inr-15-crore/7ydr/
"Corporate Acquirer in Mumbai, India",company,,,:,https://www.smergers.com/investor/management-electrical-and-iot-corporate-acquirer-in-mumbai-looking-to-buyout-businesses-upto-inr-50-crore/8lhj/
"Individual Buyer in Chennai, India",Individual Buyer,,,:,https://www.smergers.com/investor/sr-vice-president-engineering-solutions-partner-consulting-individual-buyer-in-chennai-looking-to-buyout-commercial-real-estate-and-fast-food-restaurants-upto-gbp-200-thousand/yyy3/
"Individual Buyer in Ahmedabad, India",Individual Buyer,,,:,https://www.smergers.com/investor/managing-director-package-manufacturing-individual-buyer-in-ahmedabad-looking-to-buyout-businesses-upto-inr-70-crore/yof3/
"Corporate Acquirer in Pune, India",company,,,:,https://www.smergers.com/investor/director-engineering-goods-corporate-acquirer-in-pune-looking-to-buyout-industrial-and-food-processing-businesses-upto-inr-10-crore/f80z/
"Individual Buyer in Dubai, UAE",Individual Buyer,,,:,https://www.smergers.com/investor/management-healthcare-individual-buyer-in-dubai-looking-to-buyout-healthcare-and-technology-businesses-upto-aed-40-million/7ozy/
"Individual Buyer in Coimbatore, India",Individual Buyer,,,:,https://www.smergers.com/investor/ceo-it-services-individual-buyer-in-coimbatore-looking-to-buyout-technology-and-it-service-businesses-upto-inr-10-crore/hjh8n/
"Corporate Acquirer in Dubai, UAE",company,,,:,https://www.smergers.com/investor/cfo-education-corporate-acquirer-in-dubai-looking-to-buyout-internet-and-education-businesses-upto-inr-5-crore/ljd6x/
